City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
3,Salalah,OM,81.59,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
4,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
5,Rikitea,PF,76.69,clear sky,-23.1203,-134.9692,People ThankYou
8,Ipameri,BR,72.86,scattered clouds,-17.7219,-48.1597,Real Hotel
10,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
18,Jamestown,US,76.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Hambantota,LK,81.28,overcast clouds,6.1241,81.1185,Bungalow 63
23,Dayong,CN,70.84,moderate rain,25.0209,118.2898,Haiyue Express Hotel
26,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
34,Kapaa,US,80.92,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
47,Satipo,PE,85.05,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
48,Akyab,MM,78.42,overcast clouds,20.15,92.9,Hotel Memory
49,Carnarvon,AU,71.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
53,Payo,ID,74.03,overcast clouds,-3.7508,103.6372,Mess keban agung
56,Saint-Philippe,RE,72.99,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Buala,SB,81.41,light rain,-8.145,159.5921,Maringe Lagoon Lodge
60,Aswan,EG,86.07,overcast clouds,24.0934,32.907,Nuba Nile
62,Hirara,JP,78.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
63,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
64,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
66,Atambua,ID,70.59,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
68,Teshie,GH,84.76,clear sky,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
