City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Patricio,US,28.017,-97.5169,92.12,51,42,19.46,scattered clouds
1,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,71,0,5.75,clear sky
2,Mahebourg,MU,-20.4081,57.7,76.24,94,40,3.44,scattered clouds
3,Salalah,OM,17.0151,54.0924,81.59,74,0,6.06,clear sky
4,Bambous Virieux,MU,-20.3428,57.7575,76.21,94,40,3.44,light rain
5,Rikitea,PF,-23.1203,-134.9692,76.69,71,5,16.13,clear sky
6,Upernavik,GL,72.7868,-56.1549,27.86,81,96,9.01,overcast clouds
7,Hobart,AU,-42.8794,147.3294,45.05,87,0,4.61,clear sky
8,Ipameri,BR,-17.7219,-48.1597,72.86,46,39,4.94,scattered clouds
9,Husyatyn,UA,49.0726,26.2141,50.0,63,100,5.95,overcast clouds
10,Boa Vista,BR,2.8197,-60.6733,89.58,51,75,9.22,broken clouds
11,Mataura,NZ,-46.1927,168.8643,39.79,91,16,2.44,few clouds
12,Cidreira,BR,-30.1811,-50.2056,62.64,96,100,1.68,overcast clouds
13,Vilyuysk,RU,63.7553,121.6247,27.93,88,30,4.16,scattered clouds
14,General Roca,AR,-39.0333,-67.5833,61.63,24,65,9.98,broken clouds
15,Barrow,US,71.2906,-156.7887,24.82,80,100,12.66,overcast clouds
16,Albany,US,42.6001,-73.9662,75.69,25,0,4.0,clear sky
17,Nouadhibou,MR,20.931,-17.0347,69.78,88,82,24.16,broken clouds
18,Jamestown,US,42.097,-79.2353,76.64,12,0,6.91,clear sky
19,Puerto Ayora,EC,-0.7393,-90.3518,80.56,91,37,4.0,scattered clouds
20,Sorland,NO,67.667,12.6934,44.46,98,100,15.43,light rain
21,Hambantota,LK,6.1241,81.1185,81.28,79,99,22.46,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,46.51,61,40,14.97,scattered clouds
23,Dayong,CN,25.0209,118.2898,70.84,98,100,1.66,moderate rain
24,Green River,US,41.5286,-109.4662,63.0,34,94,7.0,overcast clouds
25,Voyvozh,RU,62.892,54.9635,36.59,84,93,6.22,overcast clouds
26,Cayenne,GF,4.9333,-52.3333,83.08,1,0,6.91,clear sky
27,Khuzhir,RU,53.1939,107.3397,29.55,75,3,7.14,clear sky
28,Ushuaia,AR,-54.8,-68.3,40.66,75,20,4.61,few clouds
29,Svetlyy,RU,54.675,20.1347,55.96,59,100,14.07,overcast clouds
30,Ndele,CF,8.4109,20.6473,81.12,48,35,2.68,scattered clouds
31,Cape Town,ZA,-33.9258,18.4232,61.88,90,81,7.0,light rain
32,Nikolskoye,RU,59.7035,30.7861,49.91,70,85,5.01,overcast clouds
33,Tabio,CO,4.9173,-74.0936,60.4,83,88,1.86,light rain
34,Kapaa,US,22.0752,-159.319,80.92,78,100,16.11,overcast clouds
35,Bayir,TR,37.2687,28.2167,52.32,68,0,1.57,clear sky
36,Launceston,AU,-41.45,147.1667,49.64,87,100,3.44,overcast clouds
37,Hofn,IS,64.2539,-15.2082,41.27,60,100,21.88,overcast clouds
38,Severobaykalsk,RU,55.65,109.3167,25.38,77,4,6.13,clear sky
39,Slave Lake,CA,55.2834,-114.769,33.78,75,100,11.5,overcast clouds
40,Vaini,TO,-21.2,-175.2,78.96,69,20,5.75,few clouds
41,Arrecife,ES,28.963,-13.5477,69.78,88,0,0.0,clear sky
42,Cabedelo,BR,-6.9811,-34.8339,79.47,80,100,6.69,overcast clouds
43,Narsaq,GL,60.9167,-46.05,46.62,79,51,5.41,broken clouds
44,Verkhnyaya Inta,RU,65.9811,60.3094,28.72,88,13,5.3,few clouds
45,Severo-Kurilsk,RU,50.6789,156.125,35.82,86,97,7.11,overcast clouds
46,Nelson Bay,AU,-32.7167,152.15,69.01,80,100,1.99,overcast clouds
47,Satipo,PE,-11.2522,-74.6386,85.05,53,56,2.01,broken clouds
48,Akyab,MM,20.15,92.9,78.42,87,100,2.35,overcast clouds
49,Carnarvon,AU,-24.8667,113.6333,71.67,88,96,8.05,overcast clouds
50,Skjervoy,NO,70.0311,20.9714,37.4,89,100,8.81,overcast clouds
51,Ribeira Grande,PT,38.5167,-28.7,63.73,89,62,13.87,broken clouds
52,New Norfolk,AU,-42.7826,147.0587,44.71,90,26,3.47,scattered clouds
53,Payo,ID,-3.7508,103.6372,74.03,99,100,3.89,overcast clouds
54,Bogorodskoye,RU,56.55,37.8833,42.44,63,100,11.14,overcast clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,13.8,overcast clouds
56,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,14,7.05,few clouds
57,Melfort,CA,52.8667,-104.6177,51.93,40,100,8.05,overcast clouds
58,Kaitangata,NZ,-46.2817,169.8464,42.26,84,11,7.87,few clouds
59,Buala,SB,-8.145,159.5921,81.41,82,100,5.75,light rain
60,Aswan,EG,24.0934,32.907,86.07,15,88,18.61,overcast clouds
61,Hualmay,PE,-11.0964,-77.6139,68.68,74,9,9.17,clear sky
62,Hirara,JP,24.8,125.2833,78.26,86,64,15.84,broken clouds
63,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,40,4.61,scattered clouds
64,Maceio,BR,-9.6658,-35.7353,80.04,73,20,6.91,few clouds
65,Airai,TL,-8.9266,125.4092,58.28,84,47,1.28,scattered clouds
66,Atambua,ID,-9.1061,124.8925,70.59,84,48,3.31,scattered clouds
67,Lichinga,MZ,-13.3128,35.2406,60.89,88,20,9.22,few clouds
68,Teshie,GH,5.5836,-0.1072,84.76,84,0,11.5,clear sky
69,Busselton,AU,-33.65,115.3333,60.31,83,81,1.88,broken clouds
70,Codrington,AU,-38.2667,141.9667,49.87,88,83,4.65,broken clouds
71,Shimoda,JP,34.6667,138.95,57.11,67,100,10.6,overcast clouds
72,Esperance,AU,-33.8667,121.9,62.65,36,17,14.67,few clouds
73,Chilca,PE,-12.5211,-76.7372,65.28,85,73,6.15,broken clouds
74,Pemba,MZ,-12.974,40.5178,75.9,78,0,8.05,clear sky
75,Litovko,RU,49.2361,135.1742,54.79,57,45,1.28,scattered clouds
76,Cabo San Lucas,MX,22.8909,-109.9124,90.61,35,0,4.61,clear sky
77,Sawara,JP,35.8833,140.5,53.92,90,75,4.61,broken clouds
78,Varzelandia,BR,-15.7014,-44.0275,71.33,35,38,3.42,scattered clouds
79,Butaritari,KI,3.0707,172.7902,80.83,73,29,16.53,scattered clouds
80,Miri,MY,4.4148,114.0089,78.94,94,20,0.0,few clouds
81,Cherskiy,RU,68.75,161.3,21.79,87,46,8.97,scattered clouds
82,Praia,CV,14.9215,-23.5087,73.94,73,0,16.11,clear sky
83,Buzmeyin,TM,38.0507,58.2056,62.33,82,100,4.61,light intensity shower rain
84,Atar,MR,20.5169,-13.0499,92.68,12,35,8.12,scattered clouds
85,Moose Factory,CA,51.2585,-80.6094,84.2,34,0,23.02,clear sky
86,College,US,64.8569,-147.8028,38.59,87,100,12.66,light snow
87,Listvyanskiy,RU,54.4399,83.4984,37.92,51,0,8.37,clear sky
88,Zhigansk,RU,66.7697,123.3711,23.34,96,100,8.55,light snow
89,Egvekinot,RU,66.3167,-179.1667,29.73,100,100,4.72,overcast clouds
90,Bredasdorp,ZA,-34.5322,20.0403,63.28,73,66,17.45,broken clouds
91,Faanui,PF,-16.4833,-151.75,81.32,77,18,14.76,light rain
92,Kutum,SD,14.2,24.6667,80.58,10,53,8.19,broken clouds
93,Mar Del Plata,AR,-38.0023,-57.5575,54.95,77,75,10.0,broken clouds
94,Provideniya,RU,64.3833,-173.3,32.36,93,75,18.01,mist
95,Starobaltachevo,RU,56.0013,55.9213,49.84,86,100,11.48,overcast clouds
96,Farmington,US,36.7281,-108.2187,83.08,13,0,12.66,clear sky
97,Maryborough,AU,-25.5333,152.7,69.12,87,100,10.69,light rain
98,Mago,RU,53.2514,140.1822,39.61,92,100,1.99,overcast clouds
99,Qaanaaq,GL,77.484,-69.3632,20.21,66,1,2.15,clear sky
100,Kade,DE,52.3833,12.2667,69.1,67,96,8.43,overcast clouds
101,Veraval,IN,20.9,70.3667,82.67,82,64,18.79,broken clouds
102,Bambanglipuro,ID,-7.95,110.2833,78.06,91,56,3.33,broken clouds
103,Tasiilaq,GL,65.6145,-37.6368,26.76,85,99,9.28,overcast clouds
104,Poum,NC,-20.2333,164.0167,76.03,70,89,15.12,overcast clouds
105,Lisakovsk,KZ,52.5369,62.4936,52.74,82,89,9.64,overcast clouds
106,Pangnirtung,CA,66.1451,-65.7125,30.2,86,20,11.5,few clouds
107,Talnakh,RU,69.4865,88.3972,10.98,100,95,3.67,overcast clouds
