City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Karaton,ID,2022-05-07 14:30:14,-6.3424,106.1045,75.22,92,99,3.33
1,Subtanjalla,PE,2022-05-07 14:30:14,-14.0189,-75.7581,71.08,65,28,4.61
2,Estelle,US,2022-05-07 14:30:15,29.8458,-90.1067,80.01,68,20,3.44
3,Temozon,MX,2022-05-07 14:30:15,20.8,-88.2167,82.49,52,76,5.79
4,Butaritari,KI,2022-05-07 14:30:16,3.0707,172.7902,81.55,77,96,10.92
5,Lyngdal,NO,2022-05-07 14:30:16,58.1376,7.07,51.89,67,22,20.69
6,Dikson,RU,2022-05-07 14:30:17,73.5069,80.5464,11.07,98,36,5.68
7,Barrow,US,2022-05-07 14:30:17,71.2906,-156.7887,21.22,93,100,12.66
8,Mount Gambier,AU,2022-05-07 14:30:18,-37.8333,140.7667,49.91,93,100,5.75
9,Leningradskiy,RU,2022-05-07 14:30:18,69.3833,178.4167,18.05,97,98,1.9
10,Hobart,AU,2022-05-07 14:30:02,-42.8794,147.3294,53.46,75,40,14.97
11,Punta Arenas,CL,2022-05-07 14:28:47,-53.15,-70.9167,50.11,71,29,30.8
12,Pisco,PE,2022-05-07 14:30:19,-13.7,-76.2167,68.05,77,22,5.75
13,Hermanus,ZA,2022-05-07 14:30:20,-34.4187,19.2345,61.81,58,34,9.82
14,Banda Aceh,ID,2022-05-07 14:30:20,5.5577,95.3222,79.43,83,99,15.82
15,Hilo,US,2022-05-07 14:28:49,19.7297,-155.09,71.33,89,100,8.05
16,Pyu,MM,2022-05-07 14:30:21,18.4833,96.4333,82.02,73,87,0.67
17,Mar Del Plata,AR,2022-05-07 14:28:39,-38.0023,-57.5575,64.87,79,0,11.5
18,Avarua,CK,2022-05-07 14:30:22,-21.2078,-159.775,75.25,94,20,2.3
19,Itoman,JP,2022-05-07 14:30:23,26.1247,127.6694,77.02,88,100,9.22
20,Hvide Sande,DK,2022-05-07 14:30:23,56.0045,8.1294,54.09,58,20,16.11
21,Swinford,IE,2022-05-07 14:30:24,53.95,-8.95,64.08,72,100,4.61
22,Esperance,AU,2022-05-07 14:30:24,-33.8667,121.9,57.04,49,46,13.24
23,Albany,US,2022-05-07 14:26:02,42.6001,-73.9662,51.33,44,100,1.01
24,Lorengau,PG,2022-05-07 14:30:25,-2.0226,147.2712,82.51,82,92,13.11
25,Turukhansk,RU,2022-05-07 14:30:25,65.8167,87.9833,21.56,90,100,23.76
26,Bloemfontein,ZA,2022-05-07 14:28:50,-29.1211,26.214,69.66,24,87,10.0
27,Vaini,TO,2022-05-07 14:30:26,-21.2,-175.2,69.96,100,75,0.0
28,Sarangani,PH,2022-05-07 14:30:27,5.4033,125.4636,83.03,80,88,20.69
29,Tasiilaq,GL,2022-05-07 14:30:27,65.6145,-37.6368,32.16,65,100,5.59
30,Meulaboh,ID,2022-05-07 14:30:28,4.1363,96.1285,77.07,89,100,3.31
31,Kloulklubed,PW,2022-05-07 14:30:28,7.0419,134.2556,77.5,78,100,16.87
32,Kesova Gora,RU,2022-05-07 14:30:29,57.5836,37.2922,57.31,60,87,13.42
33,Bria,CF,2022-05-07 14:30:29,6.5423,21.9863,85.78,52,70,2.73
34,Ushuaia,AR,2022-05-07 14:29:01,-54.8,-68.3,51.42,76,40,4.61
35,Lebu,CL,2022-05-07 14:30:30,-37.6167,-73.65,57.67,67,10,6.11
36,Rikitea,PF,2022-05-07 14:30:30,-23.1203,-134.9692,77.32,82,47,7.83
37,Severo-Kurilsk,RU,2022-05-07 14:30:31,50.6789,156.125,38.17,90,76,3.58
38,Hervey Bay,AU,2022-05-07 14:25:32,-25.2986,152.8535,71.91,87,87,6.64
39,Port Alfred,ZA,2022-05-07 14:30:31,-33.5906,26.891,64.18,94,79,4.0
40,Nizwa,OM,2022-05-07 14:30:32,22.9333,57.5333,92.66,16,0,7.2
41,Victoria,HK,2022-05-07 14:30:13,22.2855,114.1577,77.18,82,100,10.0
42,Mwingi,KE,2022-05-07 14:30:33,-0.9344,38.0601,75.45,62,87,5.95
43,Srednekolymsk,RU,2022-05-07 14:30:33,67.45,153.6833,21.52,97,97,7.27
44,Cabo San Lucas,MX,2022-05-07 14:30:34,22.8909,-109.9124,77.5,67,0,6.58
45,Georgetown,MY,2022-05-07 14:30:34,5.4112,100.3354,85.95,84,20,7.0
46,Conakry,GN,2022-05-07 14:30:35,9.538,-13.6773,82.42,71,7,8.66
47,Narsaq,GL,2022-05-07 14:31:35,60.9167,-46.05,53.82,77,100,3.49
48,East London,ZA,2022-05-07 14:31:35,-33.0153,27.9116,65.34,88,0,5.75
